Product Code,Product Name
102703,LEAVE FORM
102704,WARNING NOTICE
102705,MINIMUM WAGE GRADE 2010
102706,EARN LEAVE REPORT
102707,SALARY INCREMENT HISTORY
102708,ASSESSMENT FORM (QC TO SUP)
102709,ASSESSMENT FORM (SUP TO MANAGER)
102710,FINAL SETTLEMENT FORM
102711,RE-BACKGROUND VERIFICATION (BGL)
102712,RE-BACKGROUND VERIFICATION (BDL)
102713,JOINING LETTER FORM
102714,LETTER SEND BY POST TO LEFTY EMPLOYEES
102715,OPERATOR ASSESMENT FORM
102716,CAPACITY STUDY SHEET
102717,PRODUCTION STUDY SHEET
102718,INVESTIGATION NOTICE
102719,EMPLOYEE ATTENDANCE REGISTER
102720,CUTTING QUALITY CONTROL
102721,SPEADING QUALITY  CONTROL
102722,100% CUT PANEL QUALITY CONTROL REPORT
102723,MARKER REQUISITION
102724,INTERLILING SIZE BREAK DOWN REGISTER
102725,CUTTING PREPARATION SHEET
102726,INTERLILING CUTTING REPORT
102727,CUTTING PLAN
102728,CUTTING REPORT
102729,NON- CONFORMAING MATERIAL PRODUCT REPORT
102730,SPEADING SHEET
102731,HOURLY PERFORMANCE APPRAL SAL (CUTTING)
102732,DAILY CUTTING STATUS
102733,INSPECTION SHEET
102734,HOURLY IN LINE INSPECTION REPORT
102735,IN LINE INSPECTION REPORT
102736,INSPECTION CHECK LIST (PACKING & MAKING)
102737,ORDER WISE PAKCKAGE CHECK
102738,REPORT ON END OF THE INSPECTION 100%
102739,INSPECTION CHECK LIST
102740,PACKAGE CHECK REPORT
102741,PACKING LIST
102742,HOURLY PRODUCTION MONITRUNG SHEET (FINISHING)
102743,IPC OFFER BOOK
102744,HOURY METAL CHECK REPORT
102745,FINISHING STATUS
102746,NEEDLE REQUISITION FORM
102747,MEASUREMENT CHECKING REPORT  (LINE)
102748,MEASUREMENT CHECKING REPORT  (MECK SECTION)
102749,HOURLY PRODUCTION MONITORING SHEET (SEWING)
102750,7 INSPECTION REPORT
102751,BIN CARD (ACCESSORIES)
102752,BIN CARD (FABRIC)
102753,IN COMPLETE GARMENTS RECORD
102754,ROLL WISE SHADE GROUP REPORT
102755,SAMPLE INSPECTION SHEET
102756,PRE PRODUCTIN PLANNING REPORT
102757,WORK HOUR LOSS DUE TO MAINTENANCE
102758,SEWING BUTTON DEFECT RETURN FORM (FINISHING)
102759,CARGO MOVEMENT
102760,ACCESSORIES INSPECTION REPORT
102761,PRE CUTTING FABRIC INSPECTION REPORT
102762,DAILY PRODUCTION OKEY
102763,BUTTON/ ACCESSORIES TEST REPORT
102764,RE CHECK FINDINGS
102765,PROCESS WISE CHECK LIST
102766,DEFECTS SUMMARY OF FABRIC
102767,FABRIC REQUISITION FORM
102768,ACCESSORIES REQUISITION FORM
102769,INTERLILING REQUISITION FORM
102770,STORE REQUISITION SLIP
102771,SEWING THREAD REQUISITION FORM
102772,PACKING MATERIALS REQUISITION FORM
102773,SAMPLE MEASUREMENT CHECKING REPORT
102774,FABRIC SHRINKAGE & COLOUR FASTNESS TEST REPORT
102775,EXPORT DELIVERY CHALLAN (BGL)
102776,EXPORT DELIVERY CHALLAN (SGL)
102777,EXPORT DELIVERY CHALLAN (BDL)
102778,DAILY IN PROCESS END LINE INSPECTION REPORT
102779,DAILY PRESENTATION PACKAGE CHECK REPORT BOOK
102780,DAILY FINISHING INSPECTION REPORT BOOK
102781,REQUISITION SLIP
102782,DEFECT RETURN FORM FINISHING
102783,FABRIC ROLL YARDAGE CHECKING REPORT
102784,"SIDE/CENTRE/SIDE, END TO END COLOR SHADING TEST"
102785,FABRIC DEFECT SWATCH
102786,FABRIC INSPECTION REPORT
102787,FABRIC RELEXATION REPORT
102788,SAMPLE CARD
102789,POCKET CHECK RECORD
102790,FORNT FITING SHEET
102791,GATE PASS SLIP
102792,MPR BOOK
102793,BABYLON GROUP
102794,IRON DEFECT HOURLY
102795,QUALITY CONTROL TRACKER
102796,STORAGE CONDITION ASSESSMENT FROM
102797,PURCHASE ORDER
102798,BILL BOOK (BIG)
102799,DAILY PACKING REPORT
102800,JOB ANALYSIS FROM
102801,HIGHST 03 DEFECTS ROOT CAUSE ANALYSIS REPORT
102802,PREVENT MAINTENANCE FORTNIGHTLY
102803,COLOUR FASTNESS TEST REPORT ACCESSORIES
102804,SHARP TOOLS CONTROL RECORD
102805,PACKAGING CHECK REPORT
102806,CUTTING TO SHIPMENT SUMMARY
102807,MOISTURE CHECK
102808,SERVICE CARD
102810,FIRST AID BOX CHECK LIST CARD
102811,DAILY WASH CHECK REPORT
102812,FINDING DURING PILOT RUN
102813,PILOT RUN REPORT
102814,PREVENT MAINTENANCE WEEKLY
102815,PREVENT MAINTENANCE DAILY
102816,PREVENT MAINTENANCE MONTHLY
102817,ACCESSORIES INSPECTION REPORT 2
102818,CARTON WEIGHT BOOK
102819,BIN CARD (CTN STORE)
102820,SQDC BOOK
102821,DAILY DEFECTIVE SUMMARY (NEW)
102822,MANPOWER & MACHINE COUNTING
102823,BILL BOOK SMALL
102824,CUTTING DHU REPORT
102825,FIRE EXTINGUISHER CHECK LIST
102826,CUTTING QUALITY PERFORMANCE REPORT
102827,MONEY REQUISITION SLIP BOOK
102828,LAB TEST REPORT
102829,FABRIC GSM CHECKING REPORT
102830,MEASUREMENT OUT OF TOLARENCE
102831,HOSE PIPE CHECK LIST
102832,FINISHING PRODUCTION REPORT
102833,DAILY WASHING REPORT BOOK
102834,PATTERN CHECKING REPORT
102835,CLATCH MOTOR SEVISING RECORD
102836,PROTTAON POTRO
102837,TRADE UNION MEMBER FORM
102838,MARKER CHECK REPORT
102839,100% CUT PLAN CHECK REGISTER
102840,STOCK REGISTER
102841,NEEDLE REPLACEMENT REGISTER
102842,ACCESSORIES RECEIVED ISSUE REGISTER (LABEL)
102843,PRE PRODUCTION MEETING REGISTER
102844,PATTERN REGISTER
102845,WASH GARMENTS REGISTER
102846,MEASURMENT TAPE CALIBRATION RECORD REGISTER
102847,"CARTON RECEIVED, ISSUE & STOCK REGISTER"
102848,BACK BOARD & NECK BOARD ISSUE REGISTER
102849,FABRIC ISSUE REGISTER
102850,ACCIDENT REGISTER
102851,"SEWING THREAD RECEIVE, ISSUE & STOCK REGISTER"
102852,INTERLILING INPUT SUPPLY REGISTER
102853,BUTTON ISSUE REGISTER
102854,FABRIC INPUT SUPPLY REGISTER
102855,ACCESSORIES RECEIVED ISSUE & STOCK REGISTER
102856,BROKEN NEEDLE CONTROL REGISTER
102857,DAY CARE FOOD REGISTER
102858,DAY CARE ATTENDENCE REGISTER
102859,ORDER SUMMARY
102860,WEEKLY ELECTRICAL DISTRIBUTION REGISTER
102861,"WEEKTY FAN, TUBE LIGHT CHECK REGISTER"
102862,MONTHLY FAN CHECKING REGISTER
102863,MASTER ROLL REGISTER
102864,DEFECT REPAIR RECORD REGISTER (FINISHING)
102865,HOLE KNIFE CONTROL REGISTER
102866,FIRE ROUND REGISTER
102867,"INTERLILING RECEIVE, ISSUE, & STOCK REGISTER"
102868,ACCESSORIES LEFTOVER REGISTER
102869,HIGHT MEJOR 3 DEFECT REGISTER
102870,H&M REGISTER
102871,NON CONFORMING ACCESSORIES REGISTER
102872,KNIFE CONTROL REGISTER
102873,FABRIC RECEIVE & ISSUE REGISTER
102874,PP REGISTER
102875,INLINE INSPECTION REPORT H&M
102876,DELIVERY CHALLAN BOOK (BGL-C)
102877,DELIVERY CHALLAN BOOK (AUTO)
102878,WASH DELIVERY CHALLAN BOOK (BGL-1)
102879,WASH DELIVERY CHALLAN BOOK (BGL-2)
102880,WASH DELIVERY CHALLAN BOOK (BGL-3)
102882,SWATCH CARD (ACCESSORIES)
102883,SWATCH CARD (ACCESSORIES DOUBLE)
102884,SWATCH CARD (FABRIC)
102885,PRE FINAL INSPECTION REPORT
102886,VISITING CARD
102887,BROKEN NEEDLE REPORT ( MISSING )
102888,PERSONNAL FILE
102889,AIR FRESHNER
102890,ORSALINE N
102965,TORCH LIGHT
102974,BOWL
102981,BALL PEN
102982,EMARY PAPAR
102985,ENVELOPE
102986,FLUID PEN
102987,FILE CLIP (PLASTIC)
102989,GLUE GUM
102990,GLASS PENCIL
102991,GRADING SCALE
102992,ID CARD CLIP
102993,LICO PALST
102994,MAGAZINE FILE
102996,MARKER PEN
102997,MASKIN TAPE
102998,MASTER GUM
102999,MEASURMENT TAPE
103000,NOTE BOOK
103002,OFFICE FILE
103003,OIL TUBE
103004,PUNCH MACHINE
103005,PLASTIC BUSKET
103006,PLASTIC BOX
103007,PENCIL 2H
103008,PENCIL 4B
103009,PENCIL HB
103011,PENCIL BATTARY
103012,PAPER CLIP
103013,GLUE STICK
103014,PILOT PEN
103015,POLY COVER
103016,MONTEX PEN REFILL
103017,BLADE
103018,STEEL SCALE
103020,SIGNATURE PEN
103021,STAMP PAD
103022,STAMP PAD INK
103023,SUPER GLUE
103024,STICH OPENER
103025,SLIP PAD
103026,SLIP PAD BOX
103028,PEN REFILL
103029,TEA CUP SET
103031,ID PROXIMITY CARD
103032,DOCTOR PADE
103037,SERVICE BOOK
103041,MEDICAL REGISTER
103044,BOILER REGISTER
103046,SHADE STICKER
103047,MACHINE SERVICE REPORT
103048,SET SCALE
103049,NUMBERING MACHINE SPONGE
103050,PIN REMOVER
103051,GSM  CUTTING BLADE
103052,COAT BRUSH
103054,GOGGLES
103055,MASK
103056,HIGHLIGHTER
104011,GURD FILE( PAPER)
104014,COURT FILE
104017,COFFEE MATE
104039,SPICE TRAY
104040,"ID PROXIMITY CARD, SLIM "
104051,COKE CANE 
104091,SURGICAL CAP
104092,PLASTIC POT (BADNA)
104093,FLOOR CLEAN JUTE
104094,FLOOR CLEAN BRUSH
104095,FLOWER BRUSH
104099,BINDER CLIP
104101,PLASTIC FILE
104108,NIRAPON CARD
104137,CUT PANEL RE-VIEW REGISTER 
104156,PLASTIC FILE FOLDER
104158,REGISTER KHATA
104159,TAPE DISPENSER
104227,COFFEE CUP (PLASTIC)
104319,CONVEYACE BILL BOOK
104320,TIFFIN BILL BOOK
104321,PAD BOOK (BGL)
104338,AUTOMATIC AIR FRESHNER (DISPENSER+REFILL)
104344,PAPER MOOD BOARD
104408,NEEDLE REPLACEMENT REPORT SHEET
104412,GEL PEN
104416,STAPLER MACHINE
104422,SHARPNER
104423,ERASER
104424,CARD HOLDER
104425,STICKEY NOTE
104426,PEN HOLDER
104427,SCOTCH TAPE 3/4''
104428,PLASTIC SCISSOR
104460,DEFECT REPAIR RECORD REGISTER (SEWING)
104462,"LUGGAGE, 861,28''"
104463,"LUGGAGE,9347,28''"
104590,OFFICE BAG
104741,"TEA MUG, MELAMINE"
104742,"GLASS COVER, MELAMINE"
104743,TEA SPOON
104744,MELAMINE BOWL
104752,"COMPLAINT REGISTER, 100 PAGE"
104756,CD MARKER
104819,DUSTER (HEN WINGS)
105253,INTERLINING CUTTING PLAN
105265,MESH METAL WASTE BASKET
105336,SOFT ROLL
105351,MATERNITY LEAVE REGISTER
105352,PARTS REPLACE REPAIR LOG BOX 
105415,SOUP PLATE 
105416,SOUP BOWL
105417,CHIRAMIC PLATE 
105418,HALF PLATE
105419,RICE DISH
105420,RICE BOWL
105421,SUGER POT
105422,MILK POT 
105423,RICE SPOON
105424,CURRY SPOON
105425,LUNCH SPOON
105426,KNIFE 
105427,FORKS
105448,PLASTIC CHAIR (ARM LESS)
105449,BELCHA
105452,BASIN COCK 
105575,ONE TIME GLASS
105606,PAYMENT VOUCHER
105607,7 INSPECTION REPORT FINISHING
105608,RECEIPT VOUCHER
105614,RMG REJECTION ANALYSIS REPORT
105618,HEXISOL
105637,MAINTAIN STICKER
105647,PLASTIC BOWL
105650,HAND BRUSH
105651,JUTE BRUSH
105677,VOUCHER FILE
105686,RMG REJECTION CHALLAN BOOK
105698,DELIVERY CHALLAN BOOK HO
105705,WASTE BIN
105706,CIMOS BATTERY
105733,FUSING MACHINE CHECK REGISTER
105734,DAILY FUSING INSPECTION REPORT
105735,LINE WISE LABEL ISSUE AND RETURN RECORD
105753,PRAYER MATT
105790,SWATCH CARD (3 FOLD)
105802,SEPNIL DISINFECTANT SPRAY
105815,FIFO STICKER
105843,PAD BOOK (BGRP)
105848,THERMOMETER BATTERY
105855,WALL CLOCK
105859,BUTTON PULL TEST REPORT
105882,CARTON INSPECTION REPORT
105883,FUSING SHRINKAGE & BOND TEST REPORT
105884,LOTWISE AFTER FUSING FABRIC COLOR CHECK RECORD
105885,MOCK UP SHEET
105886,FIRST PRODUCTION INSPECTION
105887,FINISHING GOODS RANDOMLY MEASUREMENT CHECK 
105888,SEWING GOODS RANDOMLY MEASUREMENT CHECK 
105891,BOND TESH REPORT
105946,FABRIC DELIVERY REGISTER
105954,FIT SIZE SET PP FABRIC SHRINKAGE TEST REPORT
105961,JHUL JHARU
105969,MATERNITY LEAVE CERTIFICATE
105970,FITNESS CERTIFICATE
105973,INDUSTRIAL PVC BOX
105984,PAPER WEIGHT
102624,POWDER MILK
102625,WASHING POWDER
102631,TEA
102632,TEA BOX
102633,VIM POWDER
102671,CARBON PAPER
102691,LAMINATING PAPER
103001,NUMBER STICKER
103053,LAMINATING CARD
105553,PERSIL WASHING POWDER
105816,SOAP CHALK
102983,ELASTIC ROLL
105639,GUM TAPE
102630,SUGER
102635,SALT
102984,RUBBER BAND
103010,PIPING COAT
104042,"COFFEE MIX, WITH SUGER "
104043,"TEA MIX, WITH SUGER "
104044,BAKARI BISCUIT
104178,"COFFEE MIX,SUGER FREE"
105309,ARARUT POWDER 
105384,FRYED RICE
